weather.temperature,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,global_horizontal_W_m2
1.5,0,0,0
1.3,0,0,0
1.7,0,0,0
2.2,0,7,7
3.2,1,47,48
3.7,5,87,92
4.9,37,143,180
4.5,100,147,247
3.7,8,111,119
3.7,0,55,55
3.4,0,27,27
3.3,0,3,3
3,0,0,0
2.7,0,0,0
2.5,0,0,0
2.2,0,0,0
2,0,0,0
1.9,0,0,0
1.7,0,0,0
1.7,0,0,0
1.6,0,0,0
1.4,0,0,0
1.1,0,0,0
1.1,0,0,0
0.8,0,0,0
0.8,0,0,0
0.8,0,0,0
1.4,0,6,6
2,0,40,40
2.1,17,87,104
2.3,40,117,157
2.2,37,127,164
2.2,0,85,85
1.9,0,54,54
2,0,30,30
2,0,2,2
2,0,0,0
1.8,0,0,0
2,0,0,0
1.9,0,0,0
1.6,0,0,0
1.5,0,0,0
1.3,0,0,0
1.5,0,0,0
1.2,0,0,0
1.1,0,0,0
0.9,0,0,0
1,0,0,0
1.2,0,0,0
1.4,0,0,0
1.5,0,0,0
1.7,0,4,4
1.8,0,38,38
1.9,0,54,54
1.9,0,62,62
1.8,0,69,69
1.8,0,62,62
1.4,0,55,55
1.3,0,32,32
1,0,4,4
1.1,0,0,0
1.4,0,0,0
1.3,0,0,0
1.1,0,0,0
1.3,0,0,0
1.5,0,0,0
1.2,0,0,0
1.4,0,0,0
1.3,0,0,0
1.3,0,0,0
1.1,0,0,0
1.2,0,0,0
1.5,0,0,0
1.4,0,0,0
1.4,0,0,0
1.5,0,10,10
1.8,0,52,52
2,0,58,58
2.1,0,57,57
2.1,0,59,59
2.2,0,50,50
2.2,0,47,47
2.1,0,29,29
2.1,0,5,5
2,0,0,0
2.1,0,0,0
2.1,0,0,0
2,0,0,0
2,0,0,0
2,0,0,0
2.5,0,0,0
2.4,0,0,0
2.6,0,0,0
2.7,0,0,0
2.6,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
2,0,0,0
2.3,0,4,4
2.9,0,54,54
3.4,107,96,203
4,187,94,281
3.9,106,142,248
3,25,134,159
3.1,34,112,146
1.5,24,74,98
0.2,0,18,18
0.1,0,0,0
-0.3,0,0,0
-0.2,0,0,0
-0.3,0,0,0
-0.5,0,0,0
-0.3,0,0,0
-0.4,0,0,0
-0.1,0,0,0
0,0,0,0
0.5,0,0,0
0.9,0,0,0
0.5,0,0,0
0.2,0,0,0
0.1,0,0,0
0,0,0,0
0.3,0,13,13
0.8,1,56,57
0.9,5,92,97
1,0,84,84
1,0,59,59
0.9,4,108,112
0.3,85,101,186
-0.6,40,69,109
-1.3,8,24,32
-1.6,0,0,0
-1.6,0,0,0
-1.7,0,0,0
-1.9,0,0,0
-2.5,0,0,0
-2.5,0,0,0
-2.5,0,0,0
-2.1,0,0,0
-2.3,0,0,0
-2.6,0,0,0
-2.6,0,0,0
-2.6,0,0,0
-3,0,0,0
-3,0,0,0
-2.7,0,0,0
-2.4,0,19,19
-1.8,4,71,75
-1.5,5,106,111
-0.4,42,162,204
-0.1,118,180,298
0.4,117,167,284
0.2,79,139,218
0,24,88,112
-0.6,0,9,9
-0.7,0,0,0
-1,0,0,0
-1.9,0,0,0
-2.3,0,0,0
-1.7,0,0,0
-1.8,0,0,0
-1.4,0,0,0
-1.3,0,0,0
-1.3,0,0,0
-1.4,0,0,0
-1.5,0,0,0
-2.1,0,0,0
-1.7,0,0,0
-1.7,0,0,0
-1.8,0,0,0
-1.4,0,15,15
-1.1,0,24,24
-0.6,0,34,34
0.1,0,54,54
0.6,0,66,66
1.2,0,46,46
1.3,0,33,33
1.7,0,23,23
2.5,0,6,6
2.9,0,0,0
3.4,0,0,0
3.6,0,0,0
3.7,0,0,0
3.6,0,0,0
3.5,0,0,0
3.8,0,0,0
4,0,0,0
4.3,0,0,0
4.5,0,0,0
4.9,0,0,0
4.8,0,0,0
4.7,0,0,0
4.8,0,0,0
5.1,0,0,0
5,0,13,13
5.3,0,59,59
5.4,0,59,59
5.5,0,52,52
5.4,0,75,75
5.7,0,98,98
5.4,6,103,109
5.1,5,71,76
4.8,0,20,20
4.6,0,0,0
4.6,0,0,0
4.5,0,0,0
4.3,0,0,0
4.3,0,0,0
4.7,0,0,0
4.6,0,0,0
4.6,0,0,0
4.4,0,0,0
4.3,0,0,0
4.4,0,0,0
4.3,0,0,0
4.2,0,0,0
4.2,0,0,0
4,0,0,0
4,9,34,43
4.8,51,91,142
5,89,135,224
5.1,50,162,212
5.1,8,138,146
4.6,17,141,158
3.9,2,98,100
3.2,10,79,89
3.4,0,24,24
3.3,0,0,0
3.3,0,0,0
3.3,0,0,0
3.2,0,0,0
3.1,0,0,0
3.3,0,0,0
3.2,0,0,0
3.1,0,0,0
3,0,0,0
2.4,0,0,0
2.3,0,0,0
2.1,0,0,0
1.5,0,0,0
1.5,0,0,0
1.5,0,0,0
1.8,0,15,15
2.3,0,52,52
1.7,11,117,128
1.9,0,89,89
2.4,0,66,66
2.8,0,61,61
2.9,0,53,53
2.6,0,37,37
2.2,0,23,23
1.7,0,0,0
1.4,0,0,0
1.3,0,0,0
1.3,0,0,0
1.2,0,0,0
1.2,0,0,0
1.3,0,0,0
1.3,0,0,0
1.4,0,0,0
1.3,0,0,0
1.4,0,0,0
1.4,0,0,0
1.5,0,0,0
1.5,0,0,0
1.4,0,0,0
1.6,4,24,28
2.1,2,58,60
2.3,0,60,60
2.7,0,64,64
2.5,0,57,57
2.5,0,44,44
2.4,0,67,67
2,4,62,66
1.8,0,24,24
1.5,0,0,0
1.3,0,0,0
1,0,0,0
0.8,0,0,0
1.5,0,0,0
2.4,0,0,0
3.4,0,0,0
4,0,0,0
4,0,0,0
3.2,0,0,0
3,0,0,0
1.9,0,0,0
1.9,0,0,0
2,0,0,0
1.8,0,0,0
2.1,0,22,22
2.2,0,58,58
3.3,3,99,102
3.6,88,145,233
3.7,130,145,275
2.9,0,87,87
3,0,63,63
2.5,0,51,51
1.8,0,14,14
0.1,0,2,2
-0.6,0,0,0
-1.3,0,0,0
-1.2,0,0,0
-1.4,0,0,0
-1.6,0,0,0
-2.1,0,0,0
-1.7,0,0,0
-1.6,0,0,0
-1.4,0,0,0
-1,0,0,0
-0.6,0,0,0
-0.6,0,0,0
-0.6,0,0,0
-0.2,0,0,0
0.7,0,28,28
1.3,4,83,87
1.5,0,74,74
2,0,81,81
2.1,0,84,84
2.4,0,65,65
2.5,0,50,50
2.8,0,26,26
3.4,0,29,29
3.8,0,4,4
3.7,0,0,0
4.2,0,0,0
4.4,0,0,0
4.7,0,0,0
4.7,0,0,0
4.8,0,0,0
4.6,0,0,0
4.6,0,0,0
4.8,0,0,0
4.8,0,0,0
5.1,0,0,0
4.7,0,0,0
5.1,0,0,0
5.3,0,0,0
5.6,0,29,29
6.4,6,87,93
7.2,50,154,204
8.3,68,187,255
8.5,136,213,349
7.9,138,204,342
7.1,92,171,263
6.3,52,115,167
5,12,49,61
4.7,0,3,3
3.9,0,0,0
3.5,0,0,0
4.1,0,0,0
3.9,0,0,0
3.8,0,0,0
3.6,0,0,0
3.3,0,0,0
3.5,0,0,0
3.6,0,0,0
3.9,0,0,0
4.3,0,0,0
4.2,0,0,0
4.5,0,0,0
4.8,0,0,0
5.2,3,34,37
5.3,3,76,79
5.5,0,70,70
5.7,0,69,69
5.9,0,66,66
6,0,55,55
5.8,0,44,44
5.6,0,30,30
5.3,0,15,15
4.9,0,2,2
4.9,0,0,0
4.8,0,0,0
4.7,0,0,0
4.7,0,0,0
4.7,0,0,0
4.3,0,0,0
4,0,0,0
3.6,0,0,0
2.3,0,0,0
1.4,0,0,0
0.8,0,0,0
-0.1,0,0,0
-0.1,0,0,0
0.1,0,0,0
0.4,1,36,37
1.3,2,79,81
1.3,3,110,113
2.1,21,165,186
3.2,87,190,277
4.6,130,176,306
5,156,130,286
3.5,105,94,199
2,34,50,84
0.7,0,9,9
0.9,0,0,0
1,0,0,0
1,0,0,0
0.9,0,0,0
2.3,0,0,0
1.7,0,0,0
2,0,0,0
2.7,0,0,0
2.7,0,0,0
2.7,0,0,0
2.7,0,0,0
3,0,0,0
3.2,0,0,0
3.6,0,0,0
4.1,0,29,29
4.7,2,77,79
5.3,0,92,92
5.3,0,87,87
5.5,0,67,67
5.4,0,59,59
5.3,0,53,53
5.3,0,41,41
5,0,15,15
4.9,0,1,1
4.9,0,0,0
5,0,0,0
4.8,0,0,0
4.6,0,0,0
4.5,0,0,0
4.4,0,0,0
4.4,0,0,0
4.3,0,0,0
4.2,0,0,0
4.2,0,0,0
4,0,0,0
4.1,0,0,0
4.3,0,0,0
4.6,0,0,0
4.9,0,22,22
5.7,0,52,52
6.2,8,124,132
6.4,14,165,179
6.4,21,181,202
6.7,7,146,153
6.4,17,142,159
5.8,25,96,121
5.3,2,43,45
4.7,0,6,6
3.8,0,0,0
2.9,0,0,0
1.9,0,0,0
1.6,0,0,0
1,0,0,0
2.3,0,0,0
1.9,0,0,0
2,0,0,0
1.3,0,0,0
0.9,0,0,0
0.4,0,0,0
-0.1,0,0,0
-0.6,0,0,0
0.6,0,0,0
2.1,27,43,70
4.1,98,87,185
5.6,233,76,309
6.3,311,74,385
6.8,354,63,417
7.5,323,69,392
6.4,267,64,331
5.6,133,75,208
4.7,19,50,69
4.5,0,6,6
3.4,0,0,0
1.9,0,0,0
1.2,0,0,0
0.8,0,0,0
0.2,0,0,0
0.1,0,0,0
0.1,0,0,0
-0.3,0,0,0
-1.4,0,0,0
-1.5,0,0,0
-1.5,0,0,0
-2.1,0,0,0
-2,0,0,0
-1,0,0,0
-0.1,23,46,69
0.7,90,93,183
1.7,171,116,287
2.2,185,151,336
2.5,316,92,408
2.5,305,85,390
1.9,249,79,328
0.9,170,64,234
-0.7,56,47,103
-1.6,3,10,13
-2.2,0,0,0
-2.6,0,0,0
-2.5,0,0,0
-2.9,0,0,0
-3.6,0,0,0
-3.6,0,0,0
-3.4,0,0,0
-3.6,0,0,0
-3.7,0,0,0
-4,0,0,0
-4.4,0,0,0
-4.3,0,0,0
-4.4,0,0,0
-2.7,0,0,0
-1.4,29,42,71
0.1,92,85,177
1.6,230,67,297
2.4,311,61,372
3.5,349,52,401
3.8,312,64,376
3.5,267,52,319
2.8,181,44,225
1.3,62,38,100
0.5,5,10,15
-0.2,0,0,0
-0.4,0,0,0
-0.1,0,0,0
-0.4,0,0,0
-0.5,0,0,0
-1,0,0,0
-1.9,0,0,0
-2.1,0,0,0
-2.9,0,0,0
-3.1,0,0,0
-3.1,0,0,0
-3.2,0,0,0
-3.4,0,0,0
-2.3,0,1,1
-0.9,29,50,79
0.4,90,103,193
1.3,170,132,302
2.4,243,138,381
3.1,299,122,421
2.9,297,111,408
2.1,178,137,315
1.3,40,99,139
0.2,0,28,28
-0.6,0,5,5
-1.3,0,0,0
-1.3,0,0,0
-1.5,0,0,0
-2,0,0,0
-2,0,0,0
-2.2,0,0,0
-2,0,0,0
-2.4,0,0,0
-2.1,0,0,0
-2,0,0,0
-2.2,0,0,0
-2.7,0,0,0
-3.1,0,0,0
-1.4,0,1,1
-0.4,33,46,79
1.3,153,63,216
3.1,47,159,206
3.8,8,152,160
4.1,1,127,128
3.8,26,162,188
3.7,158,134,292
2.5,135,84,219
1.6,31,58,89
0.4,1,11,12
0.6,0,0,0
0.4,0,0,0
0.3,0,0,0
0.2,0,0,0
0.2,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.3,0,0,0
0.1,0,0,0
-0.3,0,0,0
-0.5,0,0,0
-0.8,0,0,0
-1,0,6,6
-0.7,0,39,39
-0.5,9,101,110
-0.3,0,100,100
0.3,0,108,108
0.5,0,99,99
0.3,19,156,175
0.1,206,117,323
-0.5,56,109,165
-1,4,50,54
-1.6,0,2,2
-2.1,0,0,0
-2.5,0,0,0
-1.8,0,0,0
-2.6,0,0,0
-3,0,0,0
-3.1,0,0,0
-3.2,0,0,0
-3,0,0,0
-3.1,0,0,0
-3.1,0,0,0
-3,0,0,0
-2.8,0,0,0
-2.4,0,0,0
-2.1,0,8,8
-1.7,11,70,81
-1.4,18,133,151
-1,35,191,226
-0.4,3,155,158
-0.4,0,64,64
-0.3,1,128,129
-0.3,0,88,88
-0.2,0,40,40
0,0,13,13
0.1,0,2,2
0.1,0,0,0
0.2,0,0,0
0.5,0,0,0
0.8,0,0,0
0.8,0,0,0
0.8,0,0,0
1.3,0,0,0
1.4,0,0,0
1.7,0,0,0
1.9,0,0,0
1.9,0,0,0
2.5,0,0,0
2.6,0,0,0
3,0,10,10
3.3,8,67,75
3.8,20,138,158
4.3,11,163,174
4.4,19,207,226
4.6,6,173,179
4.8,0,77,77
5.3,23,181,204
5,2,95,97
3.8,0,43,43
4.6,0,2,2
4.6,0,0,0
4.7,0,0,0
4.5,0,0,0
4.1,0,0,0
3.8,0,0,0
3.1,0,0,0
2.9,0,0,0
3.2,0,0,0
2.8,0,0,0
3,0,0,0
3,0,0,0
3.2,0,0,0
3.3,0,0,0
3.7,2,14,16
3.7,11,64,75
4.3,59,143,202
4.3,79,195,274
4.5,1,136,137
4.8,0,91,91
5.1,0,86,86
4.9,2,119,121
5.1,3,92,95
5.6,20,72,92
4.4,0,1,1
3.7,0,0,0
3,0,0,0
3.1,0,0,0
3.1,0,0,0
2.8,0,0,0
3.1,0,0,0
3,0,0,0
3.6,0,0,0
3.6,0,0,0
3.4,0,0,0
3,0,0,0
2.9,0,0,0
2.8,0,0,0
3.1,0,10,10
3.3,1,44,45
3.5,23,130,153
3.7,37,182,219
5,31,210,241
4.9,41,218,259
4.4,98,232,330
4.1,15,159,174
4,16,121,137
4.4,0,18,18
4.6,0,1,1
4.4,0,0,0
4.5,0,0,0
4.3,0,0,0
